,Mean with 1850 data,Median with 1850 data,Maximum with 1850 data,Mean with 1860 data,Median with 1860 data,Maximum with 1860 data
horse,2.394,2.0,10,2.717,2.0,23
mules,0.006,0.0,1,0.0,0.0,0
milkcow,4.076,3.0,31,3.547,3.0,18
oxen,1.0,0.0,6,0.604,0.0,6
cattle,3.324,2.0,50,3.616,2.0,26
sheep,55.035,23.5,630,32.943,12.0,300
swine,2.976,2.0,22,1.258,1.0,5
livestock_val,409.482,312.5,2165,636.497,480.0,6740
wheat,44.606,30.0,350,26.031,21.0,100
rye,12.224,0.0,300,18.899,0.0,300
corn,90.2,60.0,1000,51.786,50.0,200
oats,96.6,60.0,1000,130.453,100.0,600
rice,0.0,0.0,0,0.0,0.0,0
tobacco,0.0,0.0,0,0.0,0.0,0
cotton,0.0,0.0,0,0.0,0.0,0
wool,179.676,75.5,2300,162.73,50.0,2200
peas,12.447,2.5,210,6.786,0.0,140
potatos,131.059,100.0,700,110.836,100.0,500
sweetpotatos,0.0,0.0,0,0.0,0.0,0
barley,0.0,0.0,0,0.189,0.0,16
buckwheat,6.841,0.0,130,2.597,0.0,79
orchid_val,29.553,10.0,2500,7.403,0.0,125
wine,0.018,0.0,3,0.201,0.0,20
produce_val,0.0,0.0,0,0.0,0.0,0
butter,351.971,300.0,3000,402.447,400.0,2651
cheese,153.824,0.0,4000,53.774,0.0,1000
hay,31.494,25.0,200,29.038,20.0,150
clover,0.0,0.0,0,0.0,0.0,0
hops,0.088,0.0,6,6.094,0.0,960
hemp_dewrot,0.0,0.0,0,0.0,0.0,0
hemp_waterrot,0.0,0.0,0,0.0,0.0,0
flax,0.0,0.0,0,0.0,0.0,0
flaxseed,0.0,0.0,0,0.0,0.0,0
silk,0.0,0.0,0,0.0,0.0,0
maplesugar,44.465,0.0,400,56.164,0.0,800
canesugar,0.0,0.0,0,0.0,0.0,0
molasses,0.135,0.0,15,0.629,0.0,100
beewax,18.388,0.0,600,0.031,0.0,5
manufactures_val,3.871,0.0,110,0.252,0.0,20
animals_val,70.906,47.0,750,59.428,50.0,250
